init_date,forecast_date,lead_time_days,morning_mean_low,morning_mean_high,morning_mean_mean,morning_mean_var,afternoon_mean_low,afternoon_mean_high,afternoon_mean_mean,afternoon_mean_var,evening_mean_low,evening_mean_high,evening_mean_mean,evening_mean_var,daily_max_low,daily_max_high,daily_max_mean,daily_max_var
2026-07-13,2026-07-14,1,22.900000000000002,26.366666666666664,24.517741935483873,0.9542580645161294,27.233333333333334,31.333333333333332,29.48978494623655,0.7967718040621268,20.916666666666668,26.133333333333336,24.090860215053763,0.990015531660694,27.8,31.9,30.164516129032247,0.8416989247311826
2026-07-13,2026-07-15,2,21.25,25.75,24.0510752688172,1.2310358422939058,25.05,31.46666666666667,28.665591397849465,1.3367395459976117,20.733333333333334,26.05,23.16182795698925,1.283299880525687,25.3,32.3,29.267741935483862,1.6062580645161282
2026-07-13,2026-07-16,3,22.96666666666667,26.75,24.625806451612895,0.8331451612903229,27.099999999999998,34.1,29.40537634408602,3.2172664277180405,20.366666666666667,29.46666666666667,23.00913978494624,4.413663679808841,28.0,34.8,30.36451612903226,3.4550322580645134
2026-07-13,2026-07-17,4,18.166666666666668,27.983333333333334,22.791935483870972,4.066349462365589,19.466666666666665,32.88333333333333,25.22956989247312,8.850050179211472,17.383333333333333,29.3,19.779032258064515,6.5424623655913985,20.2,34.8,26.35806451612903,9.791849462365594
2026-07-13,2026-07-18,5,16.416666666666668,24.2,19.788172043010757,4.348855436081242,16.533333333333335,26.866666666666664,20.975268817204306,5.601756869772998,14.783333333333333,20.7,16.704301075268823,1.6488512544802858,18.1,28.1,22.20967741935484,6.782236559139785
2026-07-13,2026-07-19,6,16.033333333333335,25.45,18.656451612903226,3.604753285543608,16.4,28.133333333333336,20.8247311827957,5.843905017921149,13.566666666666668,23.066666666666666,16.620430107526882,3.7134390681003584,17.0,29.1,21.47741935483871,6.124473118279571
2026-07-13,2026-07-20,7,15.6,24.883333333333336,18.888709677419364,4.341914575866189,17.099999999999998,27.083333333333332,22.179032258064513,7.8181660692951,13.316666666666668,21.71666666666667,17.127419354838707,3.9674175627240134,17.6,29.1,22.925806451612903,9.167978494623659
2026-07-14,2026-07-15,1,22.05,24.383333333333336,23.416666666666664,0.3474444444444441,26.066666666666666,29.866666666666664,28.30537634408603,0.6989701314217435,20.400000000000002,24.683333333333334,22.68279569892473,1.0829719235364406,26.4,30.3,28.88709677419355,0.8211612903225806
2026-07-14,2026-07-16,2,20.3,25.133333333333336,23.696236559139788,0.9775872162485066,24.083333333333332,30.183333333333334,27.92204301075269,1.3620812425328563,18.816666666666666,24.383333333333336,21.668279569892476,1.3270065710872176,24.9,30.7,28.66451612903226,1.4983655913978493
2026-07-14,2026-07-17,3,16.6,24.933333333333334,22.01559139784946,3.096906212664278,16.666666666666668,28.349999999999998,24.09032258064516,6.667995818399044,16.266666666666666,21.849999999999998,18.558064516129033,2.046682795698925,19.5,29.0,25.51290322580645,5.715161290322581
2026-07-14,2026-07-18,4,15.833333333333334,22.599999999999998,18.686559139784944,2.155526284348866,18.3,24.45,20.33225806451613,2.062183990442055,14.733333333333334,17.866666666666667,16.244086021505375,0.5255657108721625,18.4,25.5,21.103225806451608,2.7863225806451606
2026-07-14,2026-07-19,5,15.383333333333333,19.516666666666666,17.62795698924731,1.0551553166069292,17.483333333333334,22.483333333333334,19.506451612903227,1.8121792114695345,13.75,18.683333333333334,15.446774193548382,1.1375077658303465,17.9,23.1,20.112903225806452,2.123827956989248
2026-07-14,2026-07-20,6,15.85,21.05,18.086559139784956,1.720507765830346,17.083333333333332,25.183333333333334,21.095698924731188,3.78883273596177,14.466666666666667,18.23333333333333,16.356989247311823,1.336181003584229,17.3,25.9,21.719354838709677,4.328279569892471
2026-07-14,2026-07-21,7,17.266666666666666,22.516666666666666,19.532795698924733,2.0780645161290314,18.150000000000002,28.866666666666664,23.38225806451613,6.9850358422939065,15.116666666666667,23.383333333333336,17.93172043010752,3.9262102747909213,19.0,29.5,24.20967741935484,6.590236559139784
2026-07-15,2026-07-16,1,21.233333333333334,25.116666666666664,23.48118279569893,0.5317174432497007,24.46666666666667,28.983333333333334,27.265591397849466,1.0559062126642766,19.566666666666666,23.833333333333332,21.102150537634408,1.334772998805256,25.3,30.0,28.148387096774186,1.201247311827957
